x,y,角度1,角度2,角度3
1949,893,48,110,257
1589,1307,115,63,326
2327,1773,284,140,337
10,2285,80,294,4
843,2314,211,85,149
1851,1598,189,331,35
2360,295,50,180,127
1984,1815,10,176,106
1945,1118,70,191,117
1627,1955,172,224,118
780,1534,14,317,110
166,515,226,146,68
574,1294,284,219,334
981,2120,349,87,205
1961,538,4,182,74
1256,1695,333,20,114
1737,784,89,248,319
1301,2285,348,89,259
2104,2096,80,206,19
2146,1663,3,344,285
1792,458,199,321,109
875,1710,235,77,294
1426,2490,292,132,72
22,370,25,336,144
588,2382,38,281,85
551,436,152,319,72
600,1795,94,151,14
1659,820,309,254,153
192,774,197,246,98
1747,2368,104,344,36
323,1596,162,284,82
1741,341,75,146,344
1382,1234,67,223,279
1993,1528,41,329,193
946,1365,224,119,30
1260,1863,112,26,254
371,2031,324,211,132
246,1337,312,175,34
69,1436,27,80,228
1141,2030,327,9,65
848,2319,32,145,277
217,117,2,158,254
1706,2337,359,8,129
929,2068,205,40,313
581,1895,95,201,349
1510,538,350,131,0
478,1112,19,150,87
1348,2173,84,273,0
2121,2227,163,281,8
1389,1996,0,154,59
389,1148,209,257,327
1295,422,157,27,355
1527,1201,45,137,259
70,411,4,144,86
1692,2091,66,0,229
249,2347,50,133,211
791,358,161,249,319
686,1444,129,55,216
1997,1353,113,39,195
1528,700,161,18,313
2411,468,48,306,201
992,2490,148,305,1
1500,343,294,200,51
1144,1601,302,212,84
951,1077,231,16,277
406,819,22,174,355
1968,772,360,26,303
1105,766,257,343,43
1067,2020,2,337,152
1359,2219,219,101,170
342,614,201,74,341
687,1932,266,355,59
1151,1189,64,2,156
88,317,244,105,34
1146,677,17,292,83
2272,1797,196,17,359
2447,1824,78,151,339
245,1390,258,343,70
1617,375,171,329,4
773,903,222,269,121
2180,1945,265,69,23
617,1702,171,265,335
1513,2479,188,48,258
244,2104,358,191,260
2297,2240,279,112,356
267,1965,217,287,32
2191,1460,72,182,124
1320,234,33,311,167
2474,1475,258,16,335
2084,1014,81,145,9
628,923,114,351,68
630,623,299,115,47
1190,985,314,241,62
1264,801,234,186,137
904,1732,286,14,344
51,1576,93,1,245
1113,1284,23,313,228
2121,12,278,202,153
410,1334,329,152,63
2123,1873,187,53,332
1277,1701,217,349,272
1280,1158,137,242,54
2417,1490,77,14,189
2296,2441,337,142,58
544,925,314,203,50
196,742,218,355,73
1055,2172,110,237,345
1635,734,218,54,320
2483,1450,167,321,23
642,1217,133,184,304
1200,1183,338,266,99
773,41,349,167,234
1544,453,1,257,67
234,1913,9,197,126
510,810,215,89,156
691,309,47,279,218
2241,1866,300,355,89
683,1413,12,260,192
2498,970,326,257,198
2045,559,309,24,115
2489,1598,50,356,265
2443,857,194,37,240
1653,717,70,344,154
1585,830,170,329,265
1008,2440,30,104,207
2031,763,37,95,193
1081,278,320,209,267
295,831,175,10,244
137,76,174,22,312
1686,769,20,309,81
2124,229,91,334,34
315,617,88,277,174
1826,2013,128,223,7
1397,2492,346,127,207
701,1900,343,25,204
1019,2242,148,38,268
2161,2402,80,167,283
1344,1054,250,300,4
19,1132,161,83,291
1711,1663,295,227,167
993,365,73,224,317
1733,1773,19,158,221
196,1445,308,174,1
2177,1280,296,91,347
2037,2139,40,335,232
596,857,347,278,176
2298,1863,289,115,64
85,2418,288,54,235
987,1737,113,212,308
1630,1811,225,95,173
2263,1223,75,249,356
1265,2371,317,188,70
1774,122,245,172,87
1293,1932,101,323,187
363,2319,315,231,37
930,2481,145,224,341
2493,2053,18,179,233
1770,691,113,338,44
2299,1003,326,3,106
681,30,197,100,150
2231,1079,335,93,18
1305,214,268,161,31
169,2307,154,297,63
215,2092,90,201,352
252,794,321,80,33
1715,1146,27,274,82
338,2453,331,50,255
799,2444,99,13,350
482,2401,182,232,293
1467,2451,118,61,344
1699,367,5,98,301
1947,1623,222,9,104
474,1522,217,26,358
317,233,184,32,265
2239,1947,266,214,102
1523,2348,214,160,89
2365,333,31,335,101
149,1547,5,124,283
539,1799,344,293,145
2335,651,218,303,152
719,2257,4,328,233
618,2222,183,327,57
1344,1738,353,300,43
1027,980,117,48,221
1578,290,198,246,96
1271,2132,307,30,90
1726,1934,339,188,260
909,1993,126,333,283
1010,982,108,317,11
1049,1050,79,236,316
545,746,162,46,341
1979,1492,97,228,317
1300,1623,127,234,360
901,1996,21,210,285
1980,1135,133,246,295
318,791,94,326,203
2270,751,48,274,326
1974,896,113,162,314
1183,1491,197,288,139
676,2491,20,330,220
421,1541,191,63,262
160,1623,264,95,203
310,2224,298,94,24
2256,358,13,125,305
2313,938,295,192,348
137,631,290,52,115
400,2069,112,312,197
435,1124,315,18,194
336,1724,211,345,296
1221,5,10,196,57
1681,1515,104,35,322
735,2104,34,282,96
1553,2177,275,119,204
755,1839,157,317,109
297,2072,3,346,295
495,649,128,184,306
1231,1889,210,93,346
2229,2407,254,112,315
1518,155,184,32,103
806,1292,208,51,131
1225,25,348,54,172
1418,201,274,45,158
1904,2450,120,276,202
2414,2036,244,190,290
1288,1222,197,121,56
118,2093,200,260,131
380,194,69,138,201
1858,424,335,16,168
623,1108,37,83,188
2368,1730,66,278,19
784,1124,87,284,40
2408,1431,88,270,220
917,2147,148,254,355
1715,2277,169,292,109
106,478,75,196,329
970,280,27,145,94
531,2395,339,190,242
2296,1075,188,349,100
476,1174,101,175,48
602,1915,189,334,115
672,1125,146,340,87
2254,2017,199,27,332
2030,1037,286,236,181
253,2359,11,328,216
2205,1878,245,318,161
690,2144,358,264,119
1002,1796,103,348,281
1692,588,212,347,50
434,2414,102,45,163
2087,155,80,168,232
916,1592,257,109,206
644,1139,82,141,283
1016,1238,248,348,140
804,1898,126,4,318
2347,1504,88,332,199
91,84,89,163,360
2045,1684,58,11,252
1709,175,125,194,262
1401,1409,12,102,212
782,1548,316,47,104
916,2327,70,15,216
1187,1646,82,175,317
1312,1290,325,267,135
411,1918,331,280,215
2331,1621,219,338,37
311,1553,114,2,266
211,483,183,332,4
1322,339,75,219,352
2054,1801,291,171,99
2312,963,8,299,68
889,520,348,133,185
384,2438,125,278,328
1665,682,211,88,294
30,1834,0,168,272
492,954,65,323,238
2001,2354,44,343,171
2057,40,266,75,19
1944,1688,33,350,201
568,43,33,229,345
1750,1794,215,81,340
2184,1515,106,3,293
1231,802,45,211,163
567,1869,98,23,328
767,1761,149,298,44
515,2347,210,127,33
1206,2068,253,187,99
785,1833,48,308,126
557,76,110,23,315
1408,791,303,82,4
1013,131,51,107,183
1310,2170,225,35,332
1602,2021,37,204,259
862,2155,72,349,243
97,909,197,333,13
1811,1047,276,17,144
1059,1094,62,266,346
1798,634,6,208,354
2420,852,157,311,31
1658,1767,47,354,275
1994,2008,287,356,145
2468,2229,32,177,301
222,131,270,7,218
1649,719,354,21,78
1699,2407,117,326,167
196,2035,177,257,42
2334,767,348,47,264
480,2057,205,301,159
1548,1079,63,259,213
1689,1059,17,184,244
1754,765,358,206,277
1574,2489,294,343,114
2479,334,319,189,34
2214,1461,178,120,229
410,1284,163,212,99
1387,2166,341,283,194
1165,2494,355,21,205
2086,1984,147,349,80
2222,108,342,189,70
59,297,163,115,25
578,1925,142,317,49
582,1831,43,307,99
452,1911,259,21,307
1209,326,259,123,213
1097,2010,246,125,199
137,1839,187,21,73
1213,1498,28,88,304
2078,102,137,27,281
1724,543,284,207,60
1677,2088,265,168,37
927,2115,206,39,299
2391,394,116,28,193
1569,2141,174,254,335
2498,473,86,359,235
1374,1312,245,14,146
787,1610,171,254,104
1266,1286,171,331,219
1935,1395,64,338,7
703,1840,240,164,323
859,594,150,355,39
1248,1464,47,303,161
1583,1976,246,140,58
770,1408,24,119,173
202,1608,244,167,309
1200,656,2,346,110
1365,1314,208,52,355
1459,2225,275,2,192
1503,872,126,227,178
1736,238,289,218,66
540,1980,23,348,245
866,1744,176,245,292
1036,1343,277,54,208
2337,148,357,33,205
2281,2184,137,24,317
1540,2498,179,328,55
475,2096,21,192,299
1913,1543,110,25,352
1583,405,316,203,145
306,228,33,196,147
466,1701,31,148,87
1924,413,275,82,224
1313,556,43,210,120
118,2004,136,358,214
102,2080,352,98,226
766,2080,128,233,184
1465,2463,314,47,245
906,1569,317,157,23
2066,577,272,194,54
1856,279,146,44,208
709,749,243,187,58
1504,336,309,189,63
2167,737,268,202,61
368,560,33,291,156
705,4,309,81,244
136,714,235,20,176
543,2390,289,10,135
1083,2433,253,195,47
416,2194,0,270,327
634,1235,232,72,10
1374,812,208,261,0
1947,783,206,12,273
416,1110,96,221,318
1437,1052,352,228,126
2438,1147,326,91,250
1725,737,243,53,311
1704,1823,151,3,225
130,2349,42,309,247
798,1678,350,223,60
1800,307,55,105,267
182,1248,123,358,197
698,1412,98,330,145
1138,240,289,354,226
2275,1669,78,282,344
294,178,356,298,252
177,1395,153,97,337
2454,39,303,196,249
1242,1187,345,211,71
1620,932,228,71,317
1234,1293,264,150,217
2037,1898,303,158,72
1779,949,24,237,335
1587,2429,143,5,66
291,1700,24,235,357
422,1168,156,2,337
131,763,233,61,307
2224,391,334,30,168
1828,623,23,76,181
113,969,17,142,68
2303,1066,191,20,135
1222,298,92,179,42
15,1517,247,69,118
1927,1439,73,200,289
947,2449,99,4,251
2375,2389,297,136,49
592,574,143,266,26
263,2129,172,93,23
97,1427,144,51,261
2498,1403,354,98,239
2029,889,244,360,39
372,354,35,351,133
300,2183,232,343,37
1157,2020,351,159,63
1131,432,253,347,173
2183,1617,41,349,217
1349,1362,225,158,78
2124,1243,49,185,252
685,474,293,165,341
2207,1497,149,40,243
1484,2032,243,155,61
621,431,219,80,11
1767,195,226,134,12
106,1545,53,127,319
1051,818,19,333,83
2487,449,188,0,129
1589,2050,71,338,265
75,68,301,163,102
1338,1042,329,70,258
1348,635,82,155,344
1589,1891,193,349,137
1116,1640,94,358,261
788,468,261,157,337
1255,1817,213,302,131
2072,2208,179,97,228
816,2358,21,102,227
819,651,230,32,323
1316,833,115,207,260
2068,77,233,338,185
447,1879,115,197,247
769,269,309,262,32
1214,325,165,7,259
221,190,186,302,240
151,105,290,9,173
327,105,13,267,75
457,1621,153,212,35
1317,1316,142,326,203
868,1199,214,334,60
2131,1412,236,7,103
2406,1778,245,14,73
2394,148,185,52,117
1629,839,154,250,54
2303,75,305,214,166
1007,800,189,266,27
1812,995,155,248,316
1085,1316,70,138,310
72,1450,256,10,110
1411,1604,83,4,253
1106,1269,159,221,81
1765,111,339,216,117
1080,75,157,232,66
1727,794,237,41,356
19,1137,194,47,300
2030,1184,308,217,14
759,249,155,75,350
1464,1402,310,40,144
2082,1276,199,31,95
801,789,295,65,113
1375,2163,164,219,349
672,442,350,32,210
1682,2454,84,250,311
275,2019,345,252,194
2176,1523,254,148,67
1462,1122,95,166,358
565,2344,87,246,36
2463,385,342,277,224
1316,2024,43,335,166
1419,732,158,328,245
1209,453,183,356,124
1872,1613,180,236,57
1221,1431,3,134,310
837,1975,355,116,236
1166,639,60,113,265
1581,2010,352,189,256
289,38,240,43,161
2038,1156,55,308,196
1525,2435,341,36,272
2343,1291,104,269,197
2263,1118,216,80,168
1925,705,134,82,227
940,1469,318,208,86
657,1923,165,83,332
778,240,51,162,237
1082,822,255,66,15
1595,60,281,346,85
2102,818,248,154,317
842,2126,18,321,136
1811,1387,321,108,181
259,1933,218,49,1
1892,21,90,2,166
699,1962,279,81,229
447,1987,349,87,155
2174,782,112,290,225
1510,1544,306,154,33
666,700,155,58,322
617,141,81,300,182
1209,2487,107,315,226
2206,44,359,45,177
984,1231,295,37,119
552,1876,113,249,0
2157,1693,331,252,29
1469,620,59,336,153
758,1446,287,70,151
1174,1220,144,345,262
1209,2344,12,119,191
507,600,247,168,98
975,220,91,327,188
760,1466,174,250,21
1061,2170,157,260,78
400,854,194,23,121
936,1059,274,163,59
1297,1687,58,354,116
2413,1045,239,178,100
1292,1101,35,222,106
2134,692,8,156,311
2127,1746,293,238,86
1698,2345,260,186,45
298,1917,297,163,109
1096,1211,170,345,73
542,883,39,94,272
2019,729,142,72,271
1705,2051,299,358,162
1891,2030,7,284,80
1510,1178,38,240,358
653,2096,345,53,236
1010,891,117,27,336
2055,797,50,209,2
799,2161,192,301,110
2325,804,11,95,272
2011,973,194,110,250
1937,2432,192,113,245
2486,2223,355,90,154
790,1090,11,176,258
160,2233,106,236,187
899,73,222,349,163
1871,1708,27,237,74
1468,366,10,118,312
1277,2330,192,302,249
2066,118,133,190,257
779,847,64,347,11
555,1020,87,351,211
381,2108,23,230,346
1475,190,261,171,86
1929,298,259,76,131
2407,536,151,326,31
53,2366,306,160,71
1191,1365,334,7,265
1681,2429,241,16,165
1071,1086,176,119,342
1741,1939,341,286,7
721,680,313,128,236
2229,1815,283,61,345
221,336,236,293,41
1844,995,22,227,288
192,649,128,34,278
2190,1673,14,144,279
1733,1023,144,56,1
1740,2009,289,123,339
2391,730,201,97,262
998,1100,285,33,138
1057,1999,235,31,165
2499,1403,354,216,99
1114,2068,353,277,130
1358,1132,305,243,139
1451,1710,345,98,229
1750,2387,64,4,320
1175,2015,179,280,116
316,1115,286,157,87
752,2344,148,360,298
2436,2342,180,123,58
1310,1923,295,360,30
1813,507,238,82,314
1121,980,245,180,1
2194,708,166,7,99
2376,1148,341,97,13
208,648,8,174,230
2148,2210,6,190,81
1982,1153,277,225,30
171,2218,295,187,45
777,223,203,127,59
2296,1395,338,116,288
721,2233,109,308,167
2377,861,183,27,109
1416,2023,225,138,337
1025,1515,22,69,352
932,952,85,132,278
243,1659,60,0,259
2061,476,304,225,159
2017,1423,258,320,36
2344,846,48,356,281
995,2142,48,271,98
2121,48,311,7,358
1468,1654,16,196,344
701,1043,335,207,55
649,2440,2,326,56
162,2388,140,15,323
452,623,102,263,309
1708,43,164,268,12
1770,1695,301,359,13
446,2482,0,198,85
2337,1981,263,207,64
71,2383,203,22,274
883,1587,10,331,193
701,18,282,188,109
2354,1443,343,222,118
1211,645,134,265,55
2142,1843,175,122,300
1376,1771,277,358,71
1420,291,321,273,34
1903,277,8,200,117
1831,2486,212,33,92
18,1815,5,342,74
1627,1738,16,239,156
721,1560,244,351,133
56,2472,294,103,355
1635,1297,28,244,198
2145,1524,195,254,40
1059,1852,128,194,60
1635,12,163,251,303
28,169,299,121,217
1098,1602,175,294,342
822,707,168,58,112
1726,712,232,119,48
2008,1725,125,343,274
1830,1486,128,177,22
2273,2224,273,353,160
2384,1019,47,196,286
1736,808,162,309,53
559,2266,168,40,261
1663,2136,354,147,227
1087,1272,97,269,201
89,2054,2,230,344
438,2392,311,61,208
1436,717,43,196,330
1797,2150,317,59,167
1562,145,160,313,69
1749,1171,358,293,158
392,2457,176,338,273
1127,305,330,231,69
1366,2409,71,185,259
1009,944,117,273,335
870,1487,15,259,184
2458,1423,349,197,248
840,376,278,15,138
737,1487,130,195,80
370,1349,265,93,191
1118,238,327,177,124
2494,2201,6,235,354
353,2287,0,276,182
1091,1746,26,346,272
1300,1164,165,255,99
1418,1306,213,274,67
508,2133,150,283,340
752,2467,250,308,121
2319,1822,147,358,266
1072,348,130,317,50
2367,312,4,315,78
449,390,50,125,356
60,140,113,319,187
1929,1584,18,218,325
2155,2435,296,40,235
1145,150,125,310,180
681,787,100,157,288
2484,1526,174,357,56
2479,766,22,185,112
836,467,77,273,142
1106,1746,60,259,342
2486,151,195,31,295
1487,632,172,104,292
2258,1018,115,18,316
717,1504,221,23,98
1843,1933,7,303,73
1476,727,337,163,83
575,414,89,221,37
1729,541,289,170,216
2142,868,174,98,20
1472,63,292,118,49
1505,994,138,313,230
753,1785,191,18,317
1531,2276,209,16,266
1816,130,84,325,144
1947,864,360,25,136
1888,358,316,101,152
1527,2251,328,142,44
1651,1473,206,319,101
1527,2067,265,315,134
1714,2448,175,309,356
1991,2242,265,26,82
2462,1353,196,314,83
1729,45,46,312,130
394,713,24,126,279
836,1266,119,346,6
688,1667,53,294,143
1476,1592,315,171,251
217,961,207,351,283
62,1950,359,80,247
1576,2165,160,100,329
2286,944,103,199,267
1433,2037,50,355,282
455,571,21,262,346
2187,1792,252,333,81
344,2255,12,78,199
758,822,351,25,265
1520,1601,184,33,129
2325,633,51,337,168
952,40,58,221,356
2001,796,41,254,153
571,1920,163,347,255
1578,2198,193,292,82
1133,530,296,246,28
1945,415,304,126,7
379,1513,109,284,359
493,113,182,86,235
731,269,206,21,282
490,2390,48,249,175
350,2462,2,53,124
2099,1855,72,262,177
616,994,221,281,131
142,831,197,244,343
2039,1553,129,47,191
1393,1326,102,30,344
2380,2000,58,187,292
676,1161,300,42,238
1114,174,251,6,169
1817,1247,113,32,280
1493,188,314,231,108
887,976,339,235,172
1834,736,7,228,357
1667,887,0,246,115
462,78,180,65,273
361,310,315,35,235
1933,1816,98,318,46
2487,1392,172,97,311
58,37,120,240,26
711,2461,19,251,68
17,2485,291,229,80
1855,300,64,311,181
912,1564,125,288,205
1372,692,330,223,24
1445,983,93,342,219
1670,1143,223,87,157
893,779,113,317,264
1434,2020,170,258,67
532,2287,282,233,100
618,1789,207,139,298
775,2173,354,256,84
2299,1954,94,303,208
870,2004,351,17,253
2218,588,33,226,172
877,1185,281,234,134
741,1998,194,240,316
1172,783,38,93,299
1077,2330,74,317,129
1178,1617,314,74,120
1052,140,232,29,161
1670,1598,79,146,204
770,2412,132,52,244
305,1707,298,116,347
208,194,3,113,323
466,2164,155,2,82
1941,530,35,185,129
1665,390,55,320,198
2417,1043,13,283,181
511,1753,78,165,307
1795,2335,350,289,1
2277,739,17,186,284
1635,1023,186,22,250
209,1548,295,204,18
242,515,193,269,147
50,2337,348,48,128
472,724,107,286,353
1031,1113,97,192,313
719,1270,163,27,327
2415,122,156,296,86
1547,668,164,19,95
1389,1569,225,30,132
1508,2490,234,296,115
875,956,128,300,19
2141,2160,65,133,263
2256,1964,205,34,295
683,1619,359,177,241
593,772,339,259,212
935,372,41,152,296
69,78,76,191,321
603,502,321,18,274
1348,1868,37,346,140
1363,1449,26,74,216
2031,295,14,285,198
1078,2245,119,1,173
499,601,356,310,75
770,1564,90,354,240
1498,1850,12,163,220
1368,1687,218,152,28
584,656,142,70,278
900,1430,192,56,337
2322,1903,257,99,49
230,288,310,216,135
1831,1172,288,156,79
1077,1992,48,307,228
2196,2067,338,292,25
2190,51,359,41,240
425,1694,180,235,359
1568,154,6,243,336
132,683,3,178,249
134,2499,281,224,135
986,491,54,139,279
1731,680,193,325,27
2072,1841,202,320,96
989,497,73,9,138
141,420,167,46,94
2139,1441,222,145,31
2300,1706,124,194,253
913,2475,157,328,10
717,76,193,357,249
45,1222,92,32,287
1733,538,320,217,133
141,1670,206,2,347
1196,2479,189,321,127
2105,2295,282,176,29
1055,2114,227,352,144
28,1850,4,358,174
1791,2080,273,173,9
148,942,345,234,84
788,779,90,10,240
2355,1905,101,206,324
1804,116,166,248,33
2134,1726,241,318,165
1513,147,169,65,219
1573,1074,10,254,193
748,833,19,151,262
849,635,24,344,108
167,9,137,271,207
1299,833,163,5,338
1225,2485,349,171,290
2406,1878,21,229,180
2009,1822,305,357,20
1956,510,132,227,72
21,2026,275,211,149
1317,441,163,228,67
1408,2364,17,354,103
867,165,270,49,168
1047,1253,116,279,195
1553,69,235,147,311
428,2449,91,308,32
1720,1259,335,262,24
2005,662,37,109,281
1502,2376,189,29,142
1790,1469,357,233,139
1881,1494,287,133,334
1782,1773,319,157,216
167,134,237,51,187
2469,1851,2,142,309
1577,2498,78,21,262
581,726,264,90,328
91,286,216,30,326
359,2260,59,166,352
2312,1457,253,73,188
717,357,343,38,123
848,1455,130,79,203
1774,659,183,97,4
1299,774,205,141,12
994,1207,327,219,72
1395,2202,283,87,232
1699,1622,160,109,288
111,521,334,140,220
2136,349,360,108,179
1304,1589,217,8,148
1867,68,292,35,194
1189,599,294,208,41
1132,185,2,58,154
1663,1004,115,300,207
41,1690,353,290,54
1241,207,346,243,105
1035,1419,69,175,358
1883,1536,32,204,356
66,1340,115,24,352
949,2278,106,360,36
2096,1882,216,338,146
646,780,111,307,220
677,651,104,217,15
1855,322,324,155,26
520,735,186,112,236
1890,1036,40,296,123
1687,1708,348,129,25
1574,510,227,54,159
190,520,248,13,72
1774,935,185,346,46
2031,593,355,265,111
1590,1342,352,125,217
1362,2419,341,149,63
1855,618,131,77,7
1549,1033,22,242,100
2077,1182,55,327,133
668,2451,121,359,60
1754,723,119,46,244
1418,998,173,357,284
900,1303,318,20,256
2145,339,313,241,175
585,1151,62,358,207
312,508,16,264,157
1766,831,33,168,345
2479,1584,207,348,261
348,2078,345,227,54
2194,1168,75,277,164
1944,147,215,1,296
2465,1980,190,257,60
1208,263,291,115,347
1087,1980,20,236,94
259,813,335,173,19
1601,2289,94,296,221
1677,259,356,97,263
1241,2027,151,0,205
1568,541,211,157,323
2248,31,64,161,113
875,524,210,313,60
2108,1082,126,292,59
1401,1365,69,332,194
60,1560,197,85,268
719,2004,288,152,62
2255,69,133,333,265
1504,831,173,15,234
1794,1518,101,330,221
522,2180,17,218,114
499,1263,289,344,170
2008,1348,328,144,78
715,916,343,50,130
1573,2359,127,35,240
508,1901,286,70,228
330,327,97,287,48
1176,1951,240,74,287
1746,1870,66,137,255
1537,139,177,345,240
505,1032,123,1,360
1562,1759,281,130,9
1633,1013,329,28,282
1570,1205,327,97,242
43,303,250,342,151
1509,134,240,190,32
197,1983,51,283,183
307,1149,239,73,300
1491,1758,221,0,82
281,1574,285,155,331
1469,495,339,225,35
1637,179,174,252,108
1639,741,248,14,355
1280,23,104,171,232
1196,141,144,323,72
90,1973,40,259,121
2304,2077,138,352,234
1362,924,183,267,32
326,2043,116,192,301
1072,1741,40,268,193
2437,1215,23,221,171
295,468,52,270,199
1114,2271,319,53,151
601,1418,69,195,305
1475,2340,91,214,288
1125,499,296,246,168
764,737,246,102,45
397,1995,25,112,357
1475,474,216,21,89
742,1037,12,75,307
687,1914,80,270,324
2283,1180,243,181,303
1000,1950,275,65,177
2051,2182,155,17,70
1474,1363,246,88,188
1628,908,218,288,57
531,2046,337,216,56
1352,376,7,102,272
377,861,117,259,3
886,1775,289,25,336
1289,722,346,28,231
1431,2239,281,196,43
2447,428,158,353,98
2455,1622,272,129,208
1241,1936,296,360,193
883,2283,98,345,197
289,748,298,354,0
590,1876,7,102,328
790,1658,139,245,326
967,491,319,132,268
106,607,264,65,210
1034,1755,191,117,43
2330,1009,360,72,128
2446,1136,124,190,51
1152,854,131,3,63
862,2078,2,207,104
510,1793,75,14,227
1158,899,123,249,339
1527,2284,333,278,132
1391,894,319,169,5
793,1004,116,201,286
2374,1522,119,266,217
1126,2012,11,190,272
2308,2109,255,88,302
811,1257,280,332,9
1331,764,49,184,257
2266,362,142,317,2
652,2488,20,66,210
1038,801,46,246,117
905,2293,36,311,113
2334,1756,359,2,123
495,882,35,84,351
266,1807,174,94,314
1507,369,338,39,214
1995,555,183,86,230
2359,252,168,23,74
597,1325,205,284,80
1091,2077,350,170,272
1251,533,181,250,314
2170,50,272,37,320
1965,797,301,186,99
911,1821,36,189,106
1283,514,262,344,188
1427,1721,35,324,133
83,183,305,232,10
1092,2370,118,196,51
1313,1052,36,95,360
1919,1003,250,0,46
